model,command_number
language-feature-models/card.als,1
language-feature-models/function.als,1
language-feature-models/function.als,2
language-feature-models/function.als,3
language-feature-models/function.als,4
language-feature-models/function-composition.als,1
language-feature-models/in-eq.als,1
language-feature-models/in-eq.als,2
language-feature-models/order.als,1
language-feature-models/order.als,2
language-feature-models/order.als,3
language-feature-models/partial-function.als,1
language-feature-models/partial-function.als,2
language-feature-models/partial-function.als,3
language-feature-models/partial-function.als,4
language-feature-models/quantifiers.als,1
language-feature-models/quantifiers.als,2
language-feature-models/quantifiers.als,3
language-feature-models/quantifiers.als,4
language-feature-models/quantifiers.als,5
language-feature-models/relation.als,1
language-feature-models/relation.als,2
language-feature-models/relation.als,3
language-feature-models/relation.als,4
language-feature-models/relation-composition.als,1
language-feature-models/tc-function.als,1
language-feature-models/tc-relation.als,1
